serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
m3wjc22wyh88,27.95016,1599170717904,0.540342,104,97771,45.31789,300.1877,97,520.5325,fFrU8brLxN5Wea7PQwJg,41,3,23.94485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,35.9201,1601847321128,0.659457,-168,95615,26.74719,486.6261,100,573.2469,I1t2t86ZQoGIAv1i30r9,8,3,31.81985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1600962274574,0.5,121,95773,45.5235,472.8489,-250,500,fFrU8brLxN5Wea7PQwJg,109,0,25.21,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1600428917139,0.5,107,97355,52.95245,335.9002,97,500,fFrU8brLxN5Wea7PQwJg,1932,2,24.85485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,138.0607,1600365016825,1.763294,108,97142,49.45642,354.2334,97,1083.749,fFrU8brLxN5Wea7PQwJg,46,3,26.40985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,109.8021,1600971614572,0.959157,136,95778,45.11189,472.4126,100,680.9525,fFrU8brLxN5Wea7PQwJg,73,1,27.46985,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,120.4727,1599786615667,0.939215,-140,96918,49.05743,373.5483,97,667.0533,So15xXTTj0GAoVeomUCA,0,1,24.11985,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,25,1599501315096,0.5,-163,97526,33.73378,321.2054,97,500,SAGvj9Ar25aG4i3Xxta1,88,1,26.91485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1600682716501,0.5,132,96858,45.34089,378.7283,97,500,fFrU8brLxN5Wea7PQwJg,657,1,30.11485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,202.379,1601704821130,12.55924,-159,94621,61.49204,573.7303,83,2382.516,I1t2t86ZQoGIAv1i30r9,3,3,21.92485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,250,1601062513144,14.66938,-61,95671,42.96239,481.7408,110,2485.256,UefkqbOojs07AR21i0ix,0,2,22.98485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,28.75463,1599092415277,0.551033,104,97275,50.34793,342.782,97,525.7169,fFrU8brLxN5Wea7PQwJg,0,2,20.60985,ztx11HwFoJPuDJd1p7lLilvvkjg2
,25,1598293512274,0.5,167,96835,29.8635,380.715,97,500,SAGvj9Ar25aG4i3Xxta1,46,0,25.875,ztx11HwFoJPuDJd1p7lLilvvkjg2
